#,TIME,PRICE,AMOUNT,PAIR
24234587,19-03-25 21:29:06,17834,0.2,BTC/USD
24234586,19-03-25 15:47:30,17834,0.1,BTC/USD
24234585,19-03-25 15:47:30,17834,0.1,BTC/USD
24234583,19-03-25 15:47:30,17732,-0.08296418,BTC/USD
24234584,19-03-25 15:47:30,17726,-0.01703582,BTC/USD
24234581,19-03-25 15:47:30,17737,-0.01629751,BTC/USD
24234582,19-03-25 15:47:30,17732,-0.08370249,BTC/USD
24234580,19-03-25 15:47:29,17737,-0.1,BTC/USD
24234579,19-03-25 15:47:25,17834,0.1,BTC/USD
24234577,19-03-25 15:47:25,17749,-0.04963084,BTC/USD
24234578,19-03-25 15:47:25,17737,-0.05036916,BTC/USD
24234576,19-03-25 15:47:24,17834,0.1,BTC/USD
24234575,19-03-25 15:47:23,17749,-0.1,BTC/USD
24234574,19-03-25 15:47:23,17749,-0.01703583,BTC/USD
24234573,19-03-25 15:47:23,17754,-0.08296417,BTC/USD
24234572,19-03-25 15:47:22,17834,0.1,BTC/USD
24234571,19-03-25 15:47:22,17834,0.1,BTC/USD
24234569,19-03-25 15:47:22,17760,-0.0162975,BTC/USD
24234570,19-03-25 15:47:22,17754,-0.0837025,BTC/USD
24234568,19-03-25 15:47:21,17834,0.1,BTC/USD
24234567,19-03-25 15:47:21,17760,-0.1,BTC/USD
24234565,19-03-25 15:47:20,17765,-0.04963083,BTC/USD
24234566,19-03-25 15:47:20,17760,-0.05036917,BTC/USD
24234564,19-03-25 15:47:19,17834,0.1,BTC/USD
24234553,19-03-25 12:26:47,17797,-0.1,BTC/USD
24234554,19-03-25 12:26:47,17794,-0.15329748,BTC/USD
24234556,19-03-25 12:26:47,17782,-0.16666667,BTC/USD
24234557,19-03-25 12:26:47,17777,-0.16666667,BTC/USD
24234555,19-03-25 12:26:47,17788,-0.16666667,BTC/USD
24234558,19-03-25 12:26:47,17777,-0.16666667,BTC/USD
24234559,19-03-25 12:26:47,17771,-0.11703584,BTC/USD
24234560,19-03-25 12:26:47,17771,-0.04963083,BTC/USD
24234561,19-03-25 12:26:47,17765,-0.11703584,BTC/USD
24234538,19-03-25 10:35:58,17799,-0.08663081,BTC/USD
24234539,19-03-25 10:35:58,17794,-0.01336919,BTC/USD
24234537,19-03-25 10:26:53,17834,0.1,BTC/USD
24234535,19-03-25 10:23:58,17834,1.1533692,BTC/USD
24234526,19-03-25 10:19:29,17805,-0.04,BTC/USD
24234527,19-03-25 10:19:29,17799,-0.08003586,BTC/USD
24234524,19-03-25 10:19:18,17810,-0.04,BTC/USD
24234525,19-03-25 10:19:18,17805,-0.12666667,BTC/USD
24234523,19-03-25 10:18:51,17810,-0.16666667,BTC/USD
24234522,19-03-25 10:16:41,17834,0.12003586,BTC/USD
24234521,19-03-25 10:12:54,17816,-0.12003586,BTC/USD
24234519,19-03-25 10:10:28,17816,-0.16001793,BTC/USD
24234520,19-03-25 10:10:28,17816,-0.03998207,BTC/USD
24234518,19-03-25 09:46:48,17834,1.59867432,BTC/USD
99999999,19-03-25 09:46:42,17834,1.59867432,BTC/USD
